,fit_time,score_time,test_accuracy,algorithm
0,0.14986634254455566,0.28767967224121094,0.9954034729315628,knn
1,0.15002870559692383,0.28565311431884766,0.9959100204498977,knn
2,0.15033721923828125,0.27813100814819336,0.9964194373401535,knn
3,0.15116214752197266,0.284045934677124,0.9959079283887468,knn
4,0.14986824989318848,0.279604434967041,0.9964194373401535,knn
0,0.06278085708618164,0.004350900650024414,0.9254341164453525,rr
1,0.10322976112365723,0.00428009033203125,0.9289366053169734,rr
2,0.10355496406555176,0.004317283630371094,0.9355498721227622,rr
3,0.10335683822631836,0.00427556037902832,0.9273657289002557,rr
4,0.1044318675994873,0.004268169403076172,0.9370843989769821,rr
0,0.5414533615112305,0.08005928993225098,0.9954034729315628,svr
1,0.5394589900970459,0.07881045341491699,0.9959100204498977,svr
2,0.5472967624664307,0.08159518241882324,0.992838874680307,svr
3,0.5373568534851074,0.07842159271240234,0.9959079283887468,svr
4,0.531527042388916,0.08142876625061035,0.992838874680307,svr
